"","Galium_labradoricum","Galium_spurium","Galium_binifolium","Galium_tenuissimum","Galium_concinnum","Galium_propinquum","Galium_nuttallii","Galium_bolanderi","Galium_boreale","Galium_palustre","Galium_tinctorium","Galium_trifidum","Galium_mexicanum","Galium_verum","Galium_sylvaticum","Galium_odoratum","Galium_saxatile","Galium_parisiense","Galium_divaricatum","Sherardia_arvensis","Crucianella_gilanica","Rubia_tinctorum","Coprosma_propinqua","Coprosma_repens","Coprosma_lucida","Coprosma_quadrifida","Coprosma_rhamnoides","Nertera_dichondrifolia","Opercularia_varia","Knoxia_sumatrensis","Psychotria_penangensis","Psychotria_limonensis","Psychotria_tenuifolia","Psychotria_grandis","Psychotria_loniceroides","Palicourea_faxlucens","Notopleura_macrophylla","Tarenna_mollissima","Pavetta_australiensis","Atractocarpus_sessilis","Tocoyena_pittieri","Randia_pterocarpa","Randia_thurberi","Rothmannia_urcelliformis","Gardenia_jasminoides","Genipa_americana","Coffea_canephora","Coffea_racemosa","Coffea_arabica","Coffea_liberica","Ixora_congesta","Ixora_javanica","Posoqueria_latifolia","Neolamarckia_cadamba","Isertia_haenkeana","Guettarda_elliptica","Guettarda_tikalana","Guettarda_aromatica","Timonius_wallichianus","Arachnothryx_buddleioides","Blepharidium_guatemalense","Thevetia_ahouai","Stephanostegia_capuronii","Vincetoxicum_hirundinaria","Asclepias_ovalifolia","Asclepias_subulata","Asclepias_oenotheroides","Asclepias_albicans","Asclepias_erosa","Asclepias_cordifolia","Asclepias_amplexicaulis","Asclepias_fascicularis","Calotropis_procera","Mandevilla_benthamii","Wrightia_tinctoria","Strophanthus_kombe","Tabernaemontana_arborea","Tabernaemontana_sananho","Vinca_major","Vinca_minor","Plumeria_alba","Plumeria_rubra","Aspidosperma_megalocarpon","Aspidosperma_cylindrocarpon","Aspidosperma_spruceanum","Alstonia_angustiloba","Alstonia_spectabilis","Alstonia_actinophylla","Fagraea_berteroana","Eustoma_exaltatum","Gentianella_parviflora","Swertia_pseudochinensis","Gentiana_sceptrum","Gentiana_andrewsii","Gentiana_triflora","Gentiana_scabra","Gentiana_pneumonanthe","Centaurium_littorale","Centaurium_pulchellum","Blackstonia_perfoliata"
"Galium_labradoricum",0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_spurium",12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_binifolium",12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_tenuissimum",12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_concinnum",12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_propinquum",12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_nuttallii",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_bolanderi",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,1.418748,11.845654,11.845654,11.845654,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_boreale",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.418748,0,11.845654,11.845654,11.845654,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_palustre",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,11.845654,11.845654,0,2.304408,5.27686,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_tinctorium",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,11.845654,11.845654,2.304408,0,5.27686,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
